member_ID,cost, material_cost, erection_cost, connection1_cost, connection2_cost, basePlate_cost
BE0001,1359.3388133979, 626.702708107087, 586.8, 145.836105290817, 0, 0
BE0002,941.803555673039, 263.478616020997, 586.8, 91.5249396520412, 0, 0
BE0003,858.807791626424, 180.482851974383, 586.8, 91.5249396520412, 0, 0
BE0004,849.446261759741, 180.482851974383, 586.8, 82.1634097853575, 0, 0
BE0005,995.426882860072, 299.236428195276, 586.8, 109.390454664796, 0, 0
BE0006,1322.89316277188, 626.702708107087, 586.8, 109.390454664796, 0, 0
BE0007,986.136815053439, 299.236428195276, 586.8, 100.100386858164, 0, 0
BE0008,858.807791626424, 180.482851974383, 586.8, 91.5249396520412, 0, 0
BE0009,959.669070685794, 263.478616020997, 586.8, 109.390454664796, 0, 0
BE0010,1031.87253348609, 299.236428195276, 586.8, 145.836105290817, 0, 0
BE0011,849.446261759741, 180.482851974383, 586.8, 82.1634097853575, 0, 0
BE0012,1395.84962273999, 626.702708107087, 586.8, 182.346914632901, 0, 0
BE0013,1355.23961118419, 626.702708107087, 586.8, 141.736903077102, 0, 0
BE0014,937.653706073039, 263.478616020997, 586.8, 87.3750900520412, 0, 0
BE0015,854.657942026424, 180.482851974383, 586.8, 87.3750900520412, 0, 0
BE0016,845.296412159741, 180.482851974383, 586.8, 78.0135601853575, 0, 0
BE0017,991.277033260072, 299.236428195276, 586.8, 105.240605064796, 0, 0
BE0018,1318.74331317188, 626.702708107087, 586.8, 105.240605064796, 0, 0
BE0019,981.986965453439, 299.236428195276, 586.8, 95.9505372581637, 0, 0
BE0020,854.657942026424, 180.482851974383, 586.8, 87.3750900520412, 0, 0
BE0021,955.519221085794, 263.478616020997, 586.8, 105.240605064796, 0, 0
BE0022,1027.77333127238, 299.236428195276, 586.8, 141.736903077102, 0, 0
BE0023,845.296412159741, 180.482851974383, 586.8, 78.0135601853575, 0, 0
BE0024,1291.51626829244, 626.702708107087, 586.8, 78.0135601853575, 0, 0
BE0025,811.78522568457, 146.971665499213, 586.8, 78.0135601853575, 0, 0
BE0026,1242.50932246285, 532.603202385302, 586.8, 123.106120077552, 0, 0
BE0027,1107.84053758954, 406.50986471811, 586.8, 114.530672871429, 0, 0
BE0028,1000.5671010667, 299.236428195276, 586.8, 114.530672871429, 0, 0
BE0029,1000.5671010667, 299.236428195276, 586.8, 114.530672871429, 0, 0
BE0030,1044.92714259587, 370.752052543832, 586.8, 87.3750900520412, 0, 0
BE0031,928.292176206355, 263.478616020997, 586.8, 78.0135601853575, 0, 0
BE0032,863.233389232547, 180.482851974383, 586.8, 95.9505372581637, 0, 0
BE0033,1080.65817262138, 370.752052543832, 586.8, 123.106120077552, 0, 0
BE0034,854.657942026424, 180.482851974383, 586.8, 87.3750900520412, 0, 0
BE0035,845.296412159741, 180.482851974383, 586.8, 78.0135601853575, 0, 0
BE0036,1291.51626829244, 626.702708107087, 586.8, 78.0135601853575, 0, 0
BE0037,815.93507528457, 146.971665499213, 586.8, 82.1634097853575, 0, 0
BE0038,1246.65917206285, 532.603202385302, 586.8, 127.255969677552, 0, 0
BE0039,1111.99038718954, 406.50986471811, 586.8, 118.680522471429, 0, 0
BE0040,1004.7169506667, 299.236428195276, 586.8, 118.680522471429, 0, 0
BE0041,1004.7169506667, 299.236428195276, 586.8, 118.680522471429, 0, 0
BE0042,1049.07699219587, 370.752052543832, 586.8, 91.5249396520412, 0, 0
BE0043,932.442025806355, 263.478616020997, 586.8, 82.1634097853575, 0, 0
BE0044,867.383238832547, 180.482851974383, 586.8, 100.100386858164, 0, 0
BE0045,1084.80802222138, 370.752052543832, 586.8, 127.255969677552, 0, 0
BE0046,858.807791626424, 180.482851974383, 586.8, 91.5249396520412, 0, 0
BE0047,849.446261759741, 180.482851974383, 586.8, 82.1634097853575, 0, 0
BE0048,1395.84962273999, 626.702708107087, 586.8, 182.346914632901, 0, 0
BE0049,1031.87253348609, 299.236428195276, 586.8, 145.836105290817, 0, 0
BE0050,941.803555673039, 263.478616020997, 586.8, 91.5249396520412, 0, 0
BE0051,941.803555673039, 263.478616020997, 586.8, 91.5249396520412, 0, 0
BE0052,849.446261759741, 180.482851974383, 586.8, 82.1634097853575, 0, 0
BE0053,1013.29239787283, 299.236428195276, 586.8, 127.255969677552, 0, 0
BE0054,1393.96763262555, 624.820717992651, 586.8, 182.346914632901, 0, 0
BE0055,995.426882860072, 299.236428195276, 586.8, 109.390454664796, 0, 0
BE0056,995.426882860072, 299.236428195276, 586.8, 109.390454664796, 0, 0
BE0057,995.426882860072, 299.236428195276, 586.8, 109.390454664796, 0, 0
BE0058,913.1189572652, 180.482851974383, 586.8, 145.836105290817, 0, 0
BE0059,932.442025806355, 263.478616020997, 586.8, 82.1634097853575, 0, 0
BE0060,1395.84962273999, 626.702708107087, 586.8, 182.346914632901, 0, 0
BE0061,1031.87253348609, 299.236428195276, 586.8, 145.836105290817, 0, 0
BE0062,941.803555673039, 263.478616020997, 586.8, 91.5249396520412, 0, 0
BE0063,941.803555673039, 263.478616020997, 586.8, 91.5249396520412, 0, 0
BE0064,849.446261759741, 180.482851974383, 586.8, 82.1634097853575, 0, 0
